,name,DepositsAndShort-termFinancing,CAR,InterestIncome,NIM
856,PRIO-VNESHTORGBANK OAO 2015,144360.0,11.36,19969.0,10.02
857,SLAVIA BANK 2014,132924.0,17.8,14162.0,4.97
858,OPEN JOINT STOCK COMPANY 'ST PETERSBURG INDUSTRIAL JOINT STOCK BANK' 2014,136136.0,13.4,19385.0,6.94
859,EKATERINBURG NATIONAL CITY BANK OAO 2014,140757.0,11.8,17716.0,6.34
860,JSC-IB 'KS-BANK' 2015,141650.0,11.3,17095.0,4.72
861,JSC-IB 'KS-BANK' 2020,144937.0,8.7,15100.0,6.72
865,BANK FINAM 2020,128891.0,38.78,4013.0,3.25
867,EKATERINBURG NATIONAL CITY BANK OAO 2016,134293.0,14.57,18845.0,8.84
869,UGLEMETBANK OAO 2014,137627.0,11.88,11007.0,3.06
870,SLAVIA BANK 2015,126146.0,17.0,15630.0,4.63
873,CORPORATE FINANCE BANK LLC 2020,124567.0,17.73,10439.0,4.93
874,UGLEMETBANK OAO 2019,123656.0,17.1,9548.0,5.14
876,GARANT-INVEST BANK 2019,91824.0,19.84,21346.0,11.36
879,BANK SNEZHINSKIY PJSC 2017,115816.0,21.62,17248.0,10.19
881,PROMTRANSBANK LTD 2016,130712.0,14.0,20914.0,4.92
882,ASIA-INVEST BANK 2017,115424.0,46.7,5599.0,2.67
883,BELGORODSOTSBANK ZAO 2014,107870.0,19.2,11209.0,3.63
884,ZIRAAT BANK (MOSCOW) CJS 2019,89554.0,31.2,11331.0,6.87
885,TRANSSTROYBANK OAO 2017,114121.0,12.9,16407.0,6.93
890,VORONEZH OOO 2016,102658.0,15.13,12624.0,2.96
891,CORPORATE FINANCE BANK LLC 2017,98074.0,13.9,12931.0,5.71
892,BANK SNEZHINSKIY PJSC 2018,109625.0,20.5,12816.0,8.87
893,UGLEMETBANK OAO 2017,113736.0,18.1,11125.0,6.08
894,SLAVIA BANK 2016,109903.0,16.4,14249.0,3.86
895,OPEN JOINT STOCK COMPANY 'ST PETERSBURG INDUSTRIAL JOINT STOCK BANK' 2015,117338.0,14.4,14612.0,6.83
896,OPEN JOINT STOCK COMPANY 'ST PETERSBURG INDUSTRIAL JOINT STOCK BANK' 2016,115719.0,13.05,16513.0,7.6
897,BANK SNEZHINSKIY PJSC 2016,109357.0,19.06,16532.0,7.89
899,ALEKSANDROVSKY BANK 2015,112839.0,14.6,16327.0,6.11
901,JOINT-STOCK COMPANY DEVELOPMENT CAPITAL BANK 2018,34715.0,30.0,20815.0,14.74
902,TRANSSTROYBANK OAO 2016,110352.0,12.1,14786.0,6.11
904,JSCB ZARECHYE 2014,108428.0,17.5,7561.0,7.13
908,"JSC ""AKTIV BANK 2020",116975.0,18.3,9931.0,5.86
909,BANK OF KAZAN LLC CBED 2014,111710.0,13.1,12533.0,6.61
910,SLAVIA BANK 2017,104083.0,16.1,13692.0,5.96
911,BANK OF KAZAN LLC CBED 2015,113906.0,13.0,15366.0,6.51
912,ASIA-INVEST BANK 2014,109464.0,26.7,8652.0,5.08
915,ZIRAAT BANK (MOSCOW) CJS 2020,81153.0,33.7,9633.0,6.47
916,BELGORODSOTSBANK ZAO 2019,101558.0,23.9,9076.0,5.71
917,SIBSOTSBANK OOO 2019,103803.0,35.69,9950.0,6.24
918,BELGORODSOTSBANK ZAO 2017,99382.0,24.5,11419.0,5.92
919,JOINT STOCK COMPANY UNIVERSAL COMMERCIAL BANK OF NOVGOROD 'NOVOBANK' 2020,101812.0,38.55,5980.0,3.72
920,TRANSSTROYBANK OAO 2019,94118.0,13.3,13030.0,5.67
922,SEVERNY NARODNY BANK OAO 2019,99755.0,24.99,8760.0,5.78
923,SIBSOTSBANK OOO 2017,99328.0,36.91,9903.0,5.69
924,OAO GUTA-BANK 2015,86636.0,25.7,12818.0,7.6
925,"JSC ""AKTIV BANK 2017",103075.0,34.1,12700.0,16.4
928,JOINT STOCK COMPANY UNIVERSAL COMMERCIAL BANK OF NOVGOROD 'NOVOBANK' 2019,95536.0,42.64,5955.0,1.13
930,BANK RESO CREDIT OJSC 2017,66110.0,15.1,5293.0,2.7
931,"BANK FOR ELECTRIC POWER INDUSTRY, PUBLIC LIMITED COMPANY 2015",95426.0,17.6,13546.0,7.24
932,"JSC ""AKTIV BANK 2014",102658.0,16.7,12763.0,8.49
933,EKATERINBURG NATIONAL CITY BANK OAO 2015,104954.0,12.66,14241.0,7.51
934,TRANSSTROYBANK OAO 2014,94072.0,17.6,11535.0,4.69
935,OPEN JOINT STOCK COMPANY 'ST PETERSBURG INDUSTRIAL JOINT STOCK BANK' 2017,100082.0,13.49,13084.0,6.38
937,"JSC ""AKTIV BANK 2016",99704.0,29.4,13852.0,11.53
939,SEVERNY NARODNY BANK OAO 2017,95862.0,27.36,10875.0,5.78
941,COMMERCIAL BANK 'DOLINSK' CLOSED JOINT-STOCK COMPANY 2013,105641.0,17.34,6554.0,6.02
943,ASIA-INVEST BANK 2016,94214.0,42.6,4471.0,1.71
944,BELGORODSOTSBANK ZAO 2016,89459.0,23.7,10708.0,4.39
945,JOINT STOCK COMPANY UNIVERSAL COMMERCIAL BANK OF NOVGOROD 'NOVOBANK' 2017,88349.0,38.3,7368.0,2.32
946,COMMERCIAL BANK 'GAZTRANSBANK' LIMITED LIABILITY COMPANY 2017,84411.0,28.5,16109.0,10.22
949,ROSTFINANCE OOO 2017,83845.0,19.3,8218.0,3.78
950,UGLEMETBANK OAO 2015,98242.0,15.0,10357.0,3.63
951,BANK FINAM 2017,83836.0,37.7,8314.0,5.34
953,UGLEMETBANK OAO 2016,90113.0,16.4,11486.0,6.51
954,COMMERCIAL INDO BANK LLC 2020,78948.0,46.17,2893.0,5.86
957,BANK FINAM 2019,78148.0,49.04,5014.0,3.45
959,ROSTFINANCE OOO 2019,82339.0,16.1,10709.0,4.91
960,SEVERNY NARODNY BANK OAO 2020,87734.0,24.09,5812.0,6.23
961,SEVERNY NARODNY BANK OAO 2018,88431.0,26.64,6656.0,3.17
963,ASIA-INVEST BANK 2019,79618.0,34.3,4387.0,1.72
966,MUNITSIPALNY KAMCHATPROFITBANK 2014,91123.0,12.4,11278.0,8.82
967,ZIRAAT BANK (MOSCOW) CJS 2017,60327.0,40.1,9721.0,8.48
968,PROMTRANSBANK LTD 2017,92848.0,9.1,14858.0,6.63
969,ROSTFINANCE OOO 2018,79172.0,19.3,7639.0,3.7
970,SLAVIA BANK 2019,83298.0,15.61,9391.0,6.07
972,"SINKO-BANK, OOO 2015",91905.0,12.3,11328.0,9.8
973,BELGORODSOTSBANK ZAO 2020,82353.0,25.4,6990.0,4.85
975,UGLEMETBANK OAO 2018,86754.0,19.2,8974.0,6.05
976,COMMERCIAL BANK 'GAZTRANSBANK' LIMITED LIABILITY COMPANY 2019,76477.0,24.26,9823.0,5.9
978,ASIA-INVEST BANK 2018,80543.0,38.4,5992.0,2.81
980,CORPORATE FINANCE BANK LLC 2018,75742.0,13.3,10369.0,6.01
981,BELGORODSOTSBANK ZAO 2018,84504.0,23.7,9115.0,6.66
982,BANK ORANGE LLC 2019,93032.0,11.08,15080.0,12.47
983,TRANSSTROYBANK OAO 2018,84361.0,14.29,11153.0,6.01
985,ASIA-INVEST BANK 2012,77173.0,41.42,9584.0,6.96
986,SIBSOTSBANK OOO 2020,83789.0,36.33,8072.0,6.55
987,MUNITSIPALNY KAMCHATPROFITBANK 2016,83983.0,14.0,12585.0,9.4
988,BELGORODSOTSBANK ZAO 2015,82566.0,22.4,9691.0,3.58
989,TRANSSTROYBANK OAO 2020,76940.0,13.91,9906.0,6.14
990,TRANSSTROYBANK OAO 2015,84324.0,15.2,10287.0,5.06
992,ZEMSKY BANK 2019,85598.0,19.2,9758.0,6.24
996,SIBSOTSBANK OOO 2018,81538.0,36.88,8938.0,5.86
997,ZEMSKY BANK 2017,85461.0,16.5,10824.0,6.68
999,"SINKO-BANK, OOO 2014",86834.0,13.51,10283.0,11.26
1001,BANK ORANGE LLC 2014,89998.0,13.8,10264.0,7.7
1003,IS BANK 2016,55795.0,20.32,4481.0,4.09
1004,UGLEMETBANK OAO 2020,78188.0,16.5,7000.0,4.65
1005,BANK FINAM 2018,71307.0,47.92,6612.0,4.79
1006,BANK ORANGE LLC 2016,87941.0,9.9,14134.0,8.57
1007,VORONEZH OOO 2015,80115.0,10.9,9111.0,3.5
1008,UNISTREAM COMMERCIAL BANK JSC 2016,76031.0,13.87,2266.0,4.93
1009,ZIRAAT BANK (MOSCOW) CJS 2018,56258.0,36.0,9793.0,8.44
1010,JOINT STOCK COMPANY UNIVERSAL COMMERCIAL BANK OF NOVGOROD 'NOVOBANK' 2018,74735.0,36.3,5941.0,1.14
1011,JOINT STOCK COMPANY UNIVERSAL COMMERCIAL BANK OF NOVGOROD 'NOVOBANK' 2016,74236.0,33.1,7149.0,3.72
1012,OPEN JOINT STOCK COMPANY 'ST PETERSBURG INDUSTRIAL JOINT STOCK BANK' 2018,80997.0,13.16,8263.0,5.3
1014,COMMERCIAL BANK OF MOSCOW OAO 2014,78301.0,28.35,3646.0,2.51
1019,BANK ORANGE LLC 2017,83413.0,11.7,15413.0,10.94
1020,IS BANK 2017,52879.0,17.61,7026.0,6.93
1023,KUBANSKY TORGOVY BANK ZAO 2015,75201.0,29.1,13384.0,7.71
1026,UNISTREAM COMMERCIAL BANK JSC 2019,46665.0,15.03,744.0,-1.04
1029,KUBANSKY TORGOVY BANK ZAO 2019,64680.0,46.75,5825.0,5.36
1030,COMMERCIAL BANK 'GAZTRANSBANK' LIMITED LIABILITY COMPANY 2018,63550.0,25.68,9966.0,7.17
1031,BANK ORANGE LLC 2020,76620.0,10.55,11140.0,9.76
1032,ZEMSKY BANK 2018,72941.0,18.2,8409.0,6.3
1034,ZIRAAT BANK (MOSCOW) CJS 2016,50110.0,43.4,6755.0,9.63
1035,SLAVIA BANK 2018,71199.0,13.6,9989.0,5.76
1036,ASIA-INVEST BANK 2015,71874.0,35.0,5160.0,3.13
1037,CITY INVEST BANK 2014,44790.0,28.9,7083.0,10.33
1038,"JSC ""AKTIV BANK 2015",72508.0,20.5,12419.0,9.15
1039,ROSTFINANCE OOO 2020,63691.0,16.8,8618.0,5.86
1040,ZEMSKY BANK 2020,72302.0,17.5,7421.0,5.56
1041,IS BANK 2019,62264.0,17.55,7233.0,12.18
1043,CITY INVEST BANK 2013,50043.0,35.5,7763.0,10.9
1045,COMMERCIAL BANK 'GAZTRANSBANK' LIMITED LIABILITY COMPANY 2020,58710.0,24.92,7558.0,5.27
1046,BANK ORANGE LLC 2018,75319.0,10.93,13224.0,7.65
1048,MUNITSIPALNY KAMCHATPROFITBANK 2018,70765.0,14.1,7590.0,6.86
1050,ASIA-INVEST BANK 2020,60996.0,38.0,2907.0,1.37
1052,ZEMSKY BANK 2016,70758.0,14.8,10189.0,6.14
1055,VORONEZH OOO 2014,72160.0,15.58,6321.0,4.74
1057,SLAVIA BANK 2020,61354.0,15.38,6953.0,5.08
1058,KUBANSKY TORGOVY BANK ZAO 2017,58462.0,49.47,8476.0,5.06
1060,KUBANSKY TORGOVY BANK ZAO 2018,59832.0,46.6,5044.0,4.82
1062,BANK ORANGE LLC 2015,72240.0,10.3,9530.0,7.39
1064,COMMERCIAL BANK OF MOSCOW OAO 2017,60585.0,41.3,5184.0,5.94
1065,COMMERCIAL BANK 'DOLINSK' CLOSED JOINT-STOCK COMPANY 2019,71654.0,14.39,4568.0,12.85
1066,CLOSED JOINT-STOCK COMPANY 'KOSHELEV-BANK' 2013,47764.0,43.9,4337.0,5.24
1067,VITABANK INC 2016,68462.0,15.3,8055.0,5.2
1071,UNISTREAM COMMERCIAL BANK JSC 2015,62455.0,12.7,1387.0,4.42
1072,SAUBER BANK 2019,57780.0,35.7,6159.0,10.17
1073,BEST EFFORTS BANK 2016,56120.0,47.2,2993.0,1.43
1074,COMMERCIAL BANK 'DOLINSK' CLOSED JOINT-STOCK COMPANY 2017,70402.0,35.61,5772.0,16.75
1078,SAUBER BANK 2020,58816.0,42.1,3302.0,2.34
1079,INVESTMENT BANK VESTA 2020,58483.0,23.56,6275.0,7.14
1082,COMMERCIAL BANK 'DOLINSK' CLOSED JOINT-STOCK COMPANY 2016,68875.0,22.8,4797.0,10.34
1083,KROKUS-BANK OOO 2019,52352.0,47.46,5120.0,9.46
1086,UNISTREAM COMMERCIAL BANK JSC 2014,55457.0,15.1,1073.0,3.49
1087,JOINT STOCK COMPANY UNIVERSAL COMMERCIAL BANK OF NOVGOROD 'NOVOBANK' 2014,56475.0,22.1,6568.0,5.37
1088,CITY INVEST BANK 2019,37389.0,32.7,8615.0,11.96
1090,COMMERCIAL BANK OF MOSCOW OAO 2019,50271.0,43.5,4706.0,8.93
1093,BEST EFFORTS BANK 2013,36953.0,38.8,5385.0,5.05
1094,COMMERCIAL BANK KREMLIOVSKY 2019,32347.0,29.6,6238.0,9.13
1097,CITY INVEST BANK 2020,39390.0,31.32,6053.0,9.47
1098,OAO GUTA-BANK 2016,26459.0,45.4,11531.0,10.12
1101,COMMERCIAL BANK OF MOSCOW OAO 2016,52351.0,36.6,6254.0,6.25
1102,BRATSKIY ANKB 2017,62038.0,15.0,6048.0,6.24
1103,BRATSKIY ANKB 2019,59754.0,14.5,5132.0,6.67
1105,"SINKO-BANK, OOO 2016",46796.0,24.4,12787.0,10.95
1107,MUNITSIPALNY KAMCHATPROFITBANK 2019,54230.0,16.71,12863.0,17.18
1110,COMMERCIAL BANK 'DOLINSK' CLOSED JOINT-STOCK COMPANY 2018,60220.0,19.62,4330.0,15.9
1113,COMMERCIAL BANK KREMLIOVSKY 2017,26274.0,24.4,5120.0,3.72
1116,JOINT STOCK COMPANY UNIVERSAL COMMERCIAL BANK OF NOVGOROD 'NOVOBANK' 2015,49648.0,28.4,6519.0,6.6
1117,COMMERCIAL BANK OF MOSCOW OAO 2015,49965.0,32.36,4811.0,4.99
1120,IS BANK 2018,50396.0,21.71,5938.0,8.57
1121,ZEMSKY BANK 2015,55486.0,13.6,7427.0,2.92
1123,BEST EFFORTS BANK 2018,45755.0,36.33,3719.0,2.77
1124,COMMERCIAL BANK 'DOLINSK' CLOSED JOINT-STOCK COMPANY 2014,57375.0,22.05,3640.0,6.23
1127,FIRST INVESTMENT JSCB 2016,42298.0,28.9,5439.0,10.49
1128,KUBANSKY TORGOVY BANK ZAO 2020,41667.0,44.4,3671.0,3.8
1129,COMMERCIAL BANK 'DOLINSK' CLOSED JOINT-STOCK COMPANY 2020,54741.0,13.19,3089.0,7.38
1130,BEST EFFORTS BANK 2015,45773.0,42.4,2679.0,1.02
1131,CITY INVEST BANK 2018,22567.0,36.8,7991.0,13.24
1132,VITABANK INC 2014,52799.0,13.9,6590.0,6.29
1135,"BANK VENETS, OAO 2014",47068.0,23.0,7237.0,9.34
1136,"JSC RNCO ""KHOLMSK 2013",52135.0,22.49,5290.0,7.56
1137,KROKUS-BANK OOO 2017,43414.0,48.07,4852.0,8.57
1138,VITABANK INC 2017,51357.0,16.1,8200.0,6.48
1139,VOLOGZHANIN BANK AO 2019,50447.0,14.5,6021.0,10.59
1140,COMMERCIAL BANK KREMLIOVSKY 2020,26216.0,44.8,4533.0,8.18
1141,MKB IM. S. ZHIVAGO OOO 2017,51496.0,12.8,6968.0,9.72
1142,"JSC ""PROBANK 2014",44811.0,22.5,7569.0,12.4
1143,JSCB ZARECHYE 2020,43912.0,38.65,2335.0,3.62
1151,BEST EFFORTS BANK 2014,37524.0,29.9,3889.0,2.79
1152,MKB IM. S. ZHIVAGO OOO 2020,51338.0,11.6,3012.0,6.43
1157,OAO BANK 'ORBANK' 2018,42632.0,16.6,3930.0,6.69
1160,BRATSKIY ANKB 2020,46497.0,16.9,3927.0,5.1
1162,COMMERCIAL BANK KREMLIOVSKY 2018,21581.0,26.1,6029.0,9.1
1163,VITABANK INC 2015,46754.0,13.3,5864.0,5.92
1165,VOLOGZHANIN BANK AO 2018,40377.0,16.9,6802.0,13.71
1166,COMMERCIAL BANK 'DOLINSK' CLOSED JOINT-STOCK COMPANY 2015,48835.0,15.75,3380.0,7.24
1167,KROKUS-BANK OOO 2014,45709.0,22.9,4147.0,10.32
1168,BRATSKIY ANKB 2016,47046.0,15.2,5923.0,6.09
1170,OAO BANK 'ORBANK' 2019,42527.0,20.83,2962.0,3.89
1171,CITY INVEST BANK 2015,25483.0,37.0,7119.0,11.35
1174,BRATSKIY ANKB 2018,45898.0,15.7,5062.0,7.82
1176,CJSC BANK AGROROS 2014,45274.0,17.4,3248.0,4.26
1177,VOLOGZHANIN BANK AO 2020,44380.0,13.9,4427.0,8.68
1178,MKB IM. S. ZHIVAGO OOO 2016,44648.0,11.5,7446.0,10.39
1181,UNISTREAM COMMERCIAL BANK JSC 2020,27552.0,16.2,418.0,-0.75
1182,"SINKO-BANK, OOO 2019",26654.0,34.6,4083.0,8.1
1184,KROKUS-BANK OOO 2016,38711.0,36.22,4491.0,11.77
1187,SAUBER BANK 2018,34726.0,36.9,4871.0,13.43
1189,"SINKO-BANK, OOO 2017",28576.0,37.0,7911.0,14.13
1190,CLOSE CORPORATION 'PERVOURALSKBANK' JOINT-STOCK COMMERCIAL BANK 2019,43664.0,12.48,6898.0,12.56
1191,ST PETERSBURG INVESTMENT BANK INC 2016,42274.0,19.9,3078.0,8.99
1193,"JSC RNCO ""KHOLMSK 2012",41880.0,22.68,6202.0,10.65
1194,CLOSE CORPORATION 'PERVOURALSKBANK' JOINT-STOCK COMMERCIAL BANK 2020,43474.0,13.2,5989.0,9.81
1196,JOINT-STOCK COMPANY COMMERCIAL INVESTMENT BANK EUROALLIANCE 2017,42041.0,16.13,4483.0,5.8
1197,JOINT-STOCK COMPANY COMMERCIAL INVESTMENT BANK EUROALLIANCE 2016,41777.0,18.23,4358.0,5.5
1202,JOINT STOCK COMMERCIAL BANK TENDER-BANK AO 2019,22324.0,15.83,4832.0,13.39
1203,MKB IM. S. ZHIVAGO OOO 2019,41915.0,15.2,5016.0,13.32
1204,VIKING BANK 2017,33340.0,26.0,3118.0,5.91
1205,URALPROMBANK OAO 2020,38270.0,34.09,3038.0,5.3
1207,SAUBER BANK 2014,32530.0,36.4,3276.0,5.79
1211,ELITA OOO 2018,44038.0,33.2,3592.0,8.43
1212,"JSC ""PROBANK 2015",35753.0,18.34,5108.0,10.0
1215,KROKUS-BANK OOO 2015,38884.0,32.8,4171.0,17.26
1216,VITABANK INC 2018,40153.0,17.3,3858.0,5.49
1218,NOVOKIB LLC 2018,39425.0,35.1,3754.0,18.51
1219,BRATSKIY ANKB 2015,40124.0,13.55,4146.0,5.1
1221,ELITA OOO 2017,32206.0,31.5,5018.0,9.73
1223,INTERNATSIONALNY TORGOVY BANK 2018,34905.0,17.8,3674.0,4.39
1227,INTERNATSIONALNY TORGOVY BANK 2019,36156.0,16.85,3657.0,5.79
1229,MKB IM. S. ZHIVAGO OOO 2018,36798.0,15.8,4998.0,12.03
1230,KETOVO COMMERCIAL BANK 2019,33225.0,18.79,4760.0,14.74
1231,"SINKO-BANK, OOO 2020",20853.0,44.19,3269.0,6.9
1232,GAZNEFTBANK OAO 2019,37056.0,14.21,4506.0,10.72
1234,SAUBER BANK 2017,26424.0,26.3,3648.0,8.86
1235,"INVESTMENT COMMERCIAL BANK DEVELOPMENT ""YARINTERBANK"" OOO 2019",35599.0,13.7,4017.0,9.32
1236,JSCB ZARECHYE 2018,25461.0,40.7,3159.0,5.23
1238,"SINKO-BANK, OOO 2018",22467.0,39.2,3436.0,9.21
1239,FIRST INVESTMENT JSCB 2015,30225.0,23.1,3787.0,11.87
1240,JOINT-STOCK COMPANY COMMERCIAL INVESTMENT BANK EUROALLIANCE 2018,34549.0,18.9,3085.0,7.86
1241,SELMASHBANK CRA 2018,33579.0,35.9,2332.0,4.55
1244,JOINT-STOCK COMPANY COMMERCIAL INVESTMENT BANK EUROALLIANCE 2019,32717.0,20.5,3111.0,10.34
1245,ERMAK JSC 2018,27015.0,39.4,3225.0,16.21
1247,ERMAK JSC 2019,25876.0,44.0,3496.0,28.19
1248,OAO BANK 'ORBANK' 2020,32677.0,21.59,2463.0,4.05
1249,ROSSITA-BANK OOO 2020,30258.0,26.6,2264.0,8.05
1250,COMMERCIAL BANK GLOBUS OAO 2019,31653.0,26.43,3443.0,6.0
1252,JOINT-STOCK COMPANY COMMERCIAL INVESTMENT BANK EUROALLIANCE 2015,32624.0,17.81,3975.0,7.05
1254,COMMERCIAL BANK GLOBUS OAO 2020,31738.0,23.86,2789.0,6.68
1255,LLC AUTOCREDITBANK 2020,30357.0,38.02,1828.0,3.78
1256,SAUBER BANK 2016,25844.0,28.8,3460.0,8.48
1258,COMMERCIAL BANK GLOBUS OAO 2017,26486.0,17.28,3600.0,7.5
1259,VITABANK INC 2019,33418.0,22.0,4510.0,13.43
1261,GAZNEFTBANK OAO 2018,31754.0,13.16,3753.0,7.37
1262,"INVESTMENT COMMERCIAL BANK DEVELOPMENT ""YARINTERBANK"" OOO 2020",31773.0,12.7,3222.0,7.92
1263,SOCIUM-BANK LLC 2014,28549.0,19.9,3362.0,9.0
1267,PERVIY DORTRANSBANK 2019,29688.0,27.4,4032.0,12.87
1268,KETOVO COMMERCIAL BANK 2020,28025.0,18.03,4000.0,13.46
1269,"JSC ""PROBANK 2017",24973.0,30.3,3352.0,15.88
1271,ST PETERSBURG INVESTMENT BANK INC 2014,23372.0,30.1,2927.0,7.57
1275,KETOVO COMMERCIAL BANK 2017,26688.0,21.55,5564.0,16.61
1276,BANK 'YOSHKAR-OLA' OAO 2019,29017.0,27.8,2599.0,4.88
1277,LLC AUTOCREDITBANK 2018,27442.0,28.6,1559.0,3.95
1278,SAUBER BANK 2015,23882.0,30.4,2823.0,7.57
1281,CLOSED JOINT STOCK COMPANY COMMERCIAL BANK 'ARZAMAS' 2019,26458.0,29.59,3066.0,5.56
1283,COMMERCIAL BANK GLOBUS OAO 2018,27159.0,23.8,2701.0,4.35
1285,"JSC RNCO ""KHOLMSK 2014",29572.0,20.87,3277.0,7.98
1286,GAZNEFTBANK OAO 2020,28977.0,15.33,2958.0,8.49
1288,CLOSE CORPORATION 'PERVOURALSKBANK' JOINT-STOCK COMMERCIAL BANK 2018,27907.0,18.55,4532.0,10.97
1289,SOCIUM-BANK LLC 2017,22962.0,31.4,2636.0,7.87
1294,SOCIUM-BANK LLC 2016,23438.0,23.6,3006.0,9.39
1295,SOCIUM-BANK LLC 2020,17274.0,48.16,1159.0,3.63
1299,JOINT STOCK COMMERCIAL BANK TENDER-BANK AO 2018,11581.0,26.97,2410.0,11.96
1300,BANK 'YOSHKAR-OLA' OAO 2018,26817.0,23.9,2993.0,5.73
1301,JOINT STOCK COMMERCIAL BANK SERVICE-RESERVE BANK 2018,26480.0,41.4,1095.0,16.78
1302,"INVESTMENT COMMERCIAL BANK DEVELOPMENT ""YARINTERBANK"" OOO 2018",25775.0,15.6,2839.0,9.88
1303,"JSC ""PROBANK 2018",23479.0,49.3,3045.0,10.73
1306,COMMERCIAL BANK GLOBUS OAO 2016,19535.0,21.6,3466.0,7.32
1307,CLOSED JOINT STOCK COMPANY COMMERCIAL BANK 'ARZAMAS' 2020,23998.0,29.41,2523.0,5.01
1309,PERVIY DORTRANSBANK 2017,24707.0,28.0,3121.0,8.65
1310,ROSSITA-BANK OOO 2019,21293.0,30.16,3047.0,11.12
1311,CLOSED JOINT STOCK COMPANY COMMERCIAL BANK 'ARZAMAS' 2017,19173.0,25.9,3641.0,7.64
1312,BANK 'YOSHKAR-OLA' OAO 2020,25092.0,26.2,1772.0,3.69
1313,COMMERCIAL BANK GLOBUS OAO 2014,24624.0,17.4,3218.0,6.38
1314,OJSC CB SPUTNIK 2019,23310.0,24.15,1489.0,5.41
1315,ERMAK JSC 2020,17609.0,47.61,1803.0,17.55
1316,VIKING BANK 2016,15743.0,37.1,3533.0,10.52
1317,PERVIY DORTRANSBANK 2020,24420.0,26.49,2132.0,6.44
1318,JOINT STOCK COMMERCIAL BANK SERVICE-RESERVE BANK 2017,23136.0,40.0,1791.0,19.02
1319,INTERNATSIONALNY TORGOVY BANK 2020,24158.0,21.5,2028.0,5.89
1321,NOOSFERA LTD 2017,23877.0,29.2,2630.0,11.05
1323,KETOVO COMMERCIAL BANK 2018,22257.0,20.2,4182.0,16.07
1325,KETOVO COMMERCIAL BANK 2016,22521.0,20.29,4501.0,13.76
1326,ROSTFINANCE OOO 2014,18109.0,21.3,2075.0,6.76
1327,NOOSFERA LTD 2019,21369.0,47.4,1858.0,15.05
1329,NOVY MOSKOVSKY BANK OOO 2019,20090.0,33.3,3517.0,21.8
1331,SARATOV OOO 2016,16889.0,32.8,3049.0,6.92
1333,JOINT-STOCK COMPANY COMMERCIAL INVESTMENT BANK EUROALLIANCE 2020,22084.0,23.3,1542.0,5.3
1336,VITABANK INC 2020,24501.0,19.2,1828.0,5.62
1337,LLC AUTOCREDITBANK 2019,18895.0,47.34,1782.0,4.09
1338,"JSC RNCO ""KHOLMSK 2016",22538.0,43.68,1198.0,-0.97
1341,"COMMERCIAL BANK ""KALUGA"" OOO 2019",22619.0,23.9,2548.0,7.13
1342,COMMERCIAL BANK GLOBUS OAO 2015,20470.0,19.4,3046.0,7.29
1343,PERVIY DORTRANSBANK 2018,21427.0,27.6,2385.0,7.09
1344,NOVY MOSKOVSKY BANK OOO 2020,17696.0,31.77,1991.0,16.27
1347,"JSC RNCO ""KHOLMSK 2017",22072.0,33.78,2017.0,4.18
1348,SARATOV OOO 2014,14533.0,36.38,2665.0,5.78
1349,CLOSED JOINT STOCK COMPANY COMMERCIAL BANK 'ARZAMAS' 2018,19541.0,32.22,2786.0,6.72
1352,"JSC RNCO ""KHOLMSK 2015",22690.0,28.08,2342.0,6.72
1354,NOVY MOSKOVSKY BANK OOO 2018,17542.0,34.6,1715.0,10.94
1356,AKB 'KUZBASSKHIMBANK' OAO 2019,19838.0,19.8,3235.0,12.3
1358,NOVOKIB LLC 2019,18645.0,38.5,3409.0,14.2
1359,OJSC CB SPUTNIK 2018,19978.0,25.9,1550.0,4.34
1361,JOINT STOCK COMMERCIAL BANK SERVICE-RESERVE BANK 2016,19241.0,40.6,1662.0,13.21
1362,CLOSED JOINT STOCK COMPANY COMMERCIAL BANK 'ARZAMAS' 2016,16506.0,29.2,3408.0,8.64
1367,COMMERCIAL BANK AGORA 2020,19578.0,46.7,1070.0,8.59
1368,SOCIUM-BANK LLC 2015,18289.0,21.9,3664.0,12.45
1369,CJSC POCHTOBANK 2017,17413.0,28.0,2661.0,9.96
1370,OJSC CB SPUTNIK 2020,18124.0,27.11,1073.0,4.28
1371,OJSC NORODNYI DOVERITELNYI BANK 2020,14521.0,30.1,642.0,4.68
1372,AKB 'KUZBASSKHIMBANK' OAO 2020,18355.0,18.9,2654.0,10.93
1374,ROSSITA-BANK OOO 2018,15868.0,32.9,2612.0,11.02
1375,"COMMERCIAL BANK ""KALUGA"" OOO 2018",19563.0,27.9,2379.0,6.09
1380,NOOSFERA LTD 2020,16436.0,45.03,1548.0,18.01
1382,ALTYINBANK LLC 2019,13930.0,33.06,2021.0,9.69
1385,JOINT STOCK COMMERCIAL BANK SERVICE-RESERVE BANK 2014,16591.0,34.4,1279.0,7.61
1386,PROMSELHOZBANK OJSC 2019,13531.0,17.91,1658.0,6.34
1387,NALCHIK BANK 2019,13867.0,43.5,2486.0,19.17
1388,AKB 'KUZBASSKHIMBANK' OAO 2018,16238.0,23.2,2547.0,9.68
1389,CJSC POCHTOBANK 2019,15861.0,28.3,1957.0,7.3
1390,PERVIY DORTRANSBANK 2016,16878.0,27.86,2961.0,8.52
1391,"COMMERCIAL BANK ""KALUGA"" OOO 2020",18843.0,27.2,1718.0,5.81
1394,MTI-BANK ZAO 2020,13176.0,31.08,1406.0,9.56
