,index,BankYear,CAMELS_Index,TotalAssets,Equity,DepositsAndShortFunding,OtherNIB,GrossLoans,NIR,OperatingIncome,NI,NFC,Score
1593,26454,INDOSTAR CAPITAL FINANCE LIMITED 2007,0.23196605352491118,846528.0,188449.0,24593.0,11379.0,326690.0,24100.0,30606.0,16565.0,4870.0,0.363386
1594,17911,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO CENTRO SUL RONDONIENSE 2009,0.22978639226800446,266173.0,22624.0,84762.0,6053.0,115934.0,19056.0,22538.0,6150.0,2747.0,0.382903
1595,12819,CAJA RURAL CENTRAL SOCIEDAD COOPERATIVA DE CREDITO 2016,0.22406353384870015,1416745.0,132581.0,1231533.0,12336.0,1024159.0,27121.0,48100.0,7296.0,9715.0,0.19881
1596,31023,"LLC NPO ""PAYPAL RU 2014",0.22587560110296345,17072.0,2596.0,13166.0,1310.0,0.0,0.0,23033.0,192.0,24854.0,1.718724
1597,5936,BANCO MUFG BRASIL S.A 2007,0.22812601066581684,2912438.0,487373.0,929883.0,59933.0,579772.0,49876.0,96826.0,15871.0,12877.0,0.140623
1598,29020,KEB HNB BANK LLC 2015,0.22588952604854193,98229.0,13694.0,84520.0,15.0,19349.0,2227.0,2444.0,335.0,66.0,1.045141
1599,13018,"CAJA RURAL DE JAEN, BARCELONA Y MADRID, SOCIEDAD COOPERATIVA DE CREDITO 2008",0.2297601165555483,579.0,288735.0,2704928.0,27472.0,1842418.0,69890.0,95896.0,9918.0,17264.0,0.999978
1600,11180,BRITISH BUSINESS BANK PLC 2010,0.22566033928108167,2867996.0,1304344.0,432617.0,17470.0,174085.0,65377.0,29805.0,-15146.0,17856.0,0.296469
1601,36914,RAIFFEISEN LANDESBANK SUEDTIROL A.G. 2010,0.2346632445884769,5577534.0,357779.0,3122768.0,89065.0,1845072.0,54626.0,79559.0,21126.0,13099.0,0.160887
1602,28856,KALUPUR COMMERCIAL CO-OP BANK LTD 2010,0.23144657366899743,1450685.0,154262.0,687846.0,82358.0,471497.0,24337.0,28740.0,11037.0,824.0,0.094212
1603,19066,CREDIT AGRICOLE ITALIA S.P.A. 2010,0.23345408175430601,73756097.0,6040268.0,36336161.0,2049714.0,48120267.0,1274465.0,2592176.0,213319.0,624017.0,0.484419
1604,22955,FIRST NATIONS BANK OF CANADA 2018,0.22504349412762806,421240.0,28846.0,2434015.5,2981.0,274575.0,10417.0,12904.0,1845.0,2222.0,0.223744
1605,27427,J&T BANK 2015,0.23063529062210866,225506.0,99476.0,119997.0,1632.0,115708.0,6488.0,15745.0,6201.0,555.0,0.354037
1606,12997,CAJA RURAL DE GRANADA 2013,0.2287985920246466,9179962.0,651063.0,8384696.0,86523.0,4218416.0,154564.0,220780.0,28710.0,30710.0,0.248784
1607,4430,BANCA PSA ITALIA SPA 2011,0.22902466650228134,4391482.0,10792.0,1982553.0,341.0,2032138.0,65287.0,-1.0,-95.0,-1.0,5.312104
1608,21562,EQUITAS SMALL FINANCE BANK LIMITED 2020,0.22921010822807475,3362401.0,462058.0,2231554.0,103611.0,2339475.0,244605.0,299881.0,52272.0,3427.0,0.360161
1609,17784,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSOCIADOS SUL CATARINENSE 2011,0.22994032987973023,202089.0,58516.0,123988.0,12033.0,61690.0,25145.0,26537.0,10897.0,1392.0,0.31396
1610,34631,OBYEDINENNY BANK RESPUBLIKI OOO 2017,0.2226092962861812,13319.0,5369.0,6532.0,86.0,6524.0,783.0,856.0,-212.0,33.0,0.390648
1611,36847,QUILTER CHEVIOT LIMITED 2014,0.226738957524274,303808.0,129114.0,2189467.5,168627.0,2273.0,6708.0,211835.0,33067.0,199487.0,0.717537
1612,32106,MIRAE ASSET SECURITIES (UK) LTD 2006,0.2267379739021664,17278.0,15545.0,2367931.0,1733.0,1611488.0,409.0,3625.0,165.0,3491.0,1.69371
1613,30987,"LLC NPO ""MOBI.MONEY 2008",0.22741879892422664,3241.0,450.0,82.0,5277.0,0.0,0.0,1438.0,130.0,1439.0,0.680092
1614,30631,LEGACY PRIVATE TRUST 2007,0.22832586031213145,5526.0,5064.0,2243393.0,127.0,0.0,113.0,2078.0,623.0,1641.0,0.245725
1615,29324,KOBE SHINKIN BANK 2013,0.2314197543826676,4290452.0,260136.0,3951882.0,36286.0,1972251.0,53118.0,65911.0,9498.0,2768.0,0.183354
1616,44981,TSB BANK PLC 2010,0.22698610919108073,51877031.0,2385357.0,46768807.0,738243.0,38368325.0,1123297.0,1644447.0,-75030.0,80616.0,0.536685
1617,2685,"BANCA DI CARAGLIO, DEL CUNEESE E DELLA RIVIERA DEI FIORI - CREDITO COOPERATIVO 2013",0.23484537645614592,1693511.0,126407.0,1057388.0,38991.0,1168607.0,27811.0,51469.0,2224.0,9128.0,0.162267
1618,41401,SPARKASSE STAUFEN- BREISACH 2020,0.22665362155471824,2022480.0,142719.0,1812565.0,5954.0,1342365.0,24692.0,39841.0,1973.0,12541.0,0.267012
1619,15069,CHINA GUANGFA BANK CO LTD 2004,0.2317220332569565,240864231.0,10100497.0,170367484.0,2633419.0,97899627.0,3910595.0,4945404.0,1783875.0,933738.0,0.616955
1620,9667,BARCLAYS PLC 2020,0.22764044141204431,1811047798.0,89755645.0,1017359470.0,10454180.0,427107606.0,10899724.0,29218024.0,3302662.0,8818282.0,1.159397
1621,368,"AGRIBANK, FCB 2016",0.23021705791203895,102563296.0,5486103.0,34291292.0,409355.0,86078402.0,574475.0,633835.0,536065.0,11570.0,0.778102
1622,23161,FMS WERTMANAGEMENT ANSTALT DES OEFFENTLICHEN RECHT 2014,0.23063082318276573,222943897.0,524550.0,45955012.0,20452319.0,27192393.0,638981.0,727392.0,380502.0,68384.0,0.26403
1623,26427,INDIAN RAILWAY FINANCE CORPORATION LIMITED 2014,0.23449503844608288,14003174.0,1387042.0,31954.0,1222870.0,13890263.0,-709591.0,311189.0,121152.0,-1.0,0.737396
1624,22695,FIRST CITIZENS BANCSHARES 2016,0.22540143854140435,32990800.0,3012426.0,28795332.0,379504.0,21812301.0,944675.0,1428785.0,225482.0,146730.0,0.502313
1625,16616,COMMERCIAL BANK NATIONAL STANDARD 2014,0.23523652826881336,1003594.0,86001.0,800102.0,2524.0,503606.0,23714.0,48009.0,4615.0,2457.0,0.460023
1626,10186,BLACK HORSE LIMITED 2009,0.25647897468061437,17427096.0,-196365.0,6402975.0,125629.0,6567644.0,470176.0,175865.0,-113655.0,23760.0,0.76708
1627,31100,LLOYDS BANK PLC 2017,0.22804813168604054,1112037406.0,69170799.0,696445127.0,206993556.0,632000652.0,16705625.0,23464080.0,5714016.0,2380727.0,0.560444
1628,10484,BNP PARIBAS 2015,0.22958460087228819,3584363.0,0.0,3533012.0,43027.0,1359442.0,16775.0,60660.0,7553.0,-421.0,0.17359
1629,38365,"SAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO 2016",0.22853917240310395,38612.0,31548.0,2503.0,3716.0,40780.0,38948.0,44118.0,8955.0,3496.0,1.661168
1630,14674,"CHANG'AN BANK CO.,LTD 2006",0.23334325079905135,24550740.0,986408.0,15313169.0,983738.0,6833642.0,337174.0,473858.0,215126.0,41238.0,0.303872
1631,35926,"PJSC ""SAFMAR FINANCIAL INVESTMENTS 2013",0.22924761329876067,1271354.0,206103.0,338469.0,52692.0,1077909.0,135525.0,143864.0,38045.0,1838.0,0.478854
1632,44415,TOKYO HIGASHI SHINKIN BANK 2011,0.22867298985580362,20908004.0,1055749.0,15409082.0,92728.0,8164822.0,222694.0,273062.0,75131.0,12128.0,0.293408
1633,38411,SBI BANK LLC 2010,0.23041412213062673,228614.0,64736.0,306331.0,1250.0,127489.0,9165.0,14297.0,1118.0,617.0,0.385155
1634,3849,BANCA FINNAT EURAMERICA SPA 2015,0.22650217381688575,1501997.0,280427.0,1179535.0,25481.0,329138.0,10455.0,72463.0,14837.0,48065.0,0.1947
1635,16852,COMPAGNIE IMMOBILIERE POUR LA CONSTRUCTION ET LA LOCATION DE BATIMENTS INDUSTRIELS ET COMMERCIAUX SA 2007,0.23844239657926805,1457781.0,272310.0,2438356.0,240001.0,146878.0,324555.0,314170.0,21095.0,-16160.0,0.455908
1636,16651,COMMERCIAL BANK OF MOSCOW OAO 2017,0.22824598172269409,80015.0,19185.0,60585.0,242.0,12185.0,3308.0,5367.0,1272.0,905.0,0.460392
1637,17973,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO SUDOESTE GOIANO 2018,0.22975660204900594,304668.0,77570.0,182842.0,35325.0,167909.0,26466.0,34144.0,16046.0,5793.0,0.225928
1638,7225,BANK OF GUILIN CO LTD 2019,0.23036869059622597,44693496.0,2967195.0,39939201.0,684885.0,24385468.0,775592.0,1042035.0,184699.0,3936.0,0.368061
1639,44470,TOMAKOMAI SHINKIN BANK 2019,0.2271797424634914,4645483.0,483864.0,4136026.0,22171.0,2060101.0,42798.0,48043.0,11061.0,3916.0,0.189779
1640,18092,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO RIO PARANA 2010,0.23524833912678952,141907.0,152889.0,28925.0,81307.0,47874.0,37463.0,37665.0,17137.0,-6984.0,0.378235
1641,42280,STERLING BANCORP INC 2013,0.22633614659505644,6667440.0,925109.0,5200415.0,111639.0,4151622.0,130125.0,158469.0,4231.0,8310.0,0.272889
1642,35464,PAHAL FINANCIAL SERVICES PRIVATE LIMITED 2014,0.22781233751056004,16148.0,1890.0,559.0,629.0,10164.0,1078.0,1273.0,231.0,62.0,0.192746
1643,1268,AOI MORI SHINKIN BANK 2010,0.23896853873893156,5866845.0,282900.0,6402199.0,36314.0,2667658.0,90377.0,103218.0,11365.0,-435.0,0.228469
1644,12128,CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DE NORMANDIE SC 2005,0.22928141927142906,18615882.0,2328416.0,15598661.0,320334.0,15544328.0,306220.0,487033.0,66872.0,220788.0,0.441981
1645,14080,CASSA RURALE ALTA VALLAGARINA E LIZZANA - BANCA DI CREDITO COOPERATIVO 2020,0.23193067611568408,667215.0,44130.0,594532.0,8790.0,528080.0,8348.0,17460.0,1099.0,2824.0,0.1235
1646,25918,IBERIABANK CORPORATION 2018,0.2263296107033781,30833000.0,4056283.0,25554952.0,325660.0,22627534.0,1013246.0,1169443.0,370247.0,75282.0,0.593769
1647,22627,FIRST AMERICAN FINANCIAL CORPORATION 2016,0.22347262339327548,8831780.0,3014351.0,2844114.0,2240708.0,7799.0,76249.0,5546610.0,343472.0,22601.0,1.625111
1648,42381,SUMITOMO MITSUI BANKING CORPORATION 2008,0.23115721228971073,1720759838.0,329242.0,1596490.0,2160068.0,3489200.0,55467.0,71443.0,23274.0,10066.0,0.02726
1649,43611,THE KARAD URBAN CO-OPERATIVE BANK LTD 2010,0.23554670249104856,459123.0,36123.0,439627.0,31650.0,279511.0,12784.0,18895.0,4247.0,325.0,0.10498
1650,43691,THE MEHSANA URBAN COOPERATIVE BANK LTD 2016,0.23033297774284242,740110.0,62852.0,644116.0,24377.0,409522.0,20614.0,22980.0,7249.0,2282.0,0.124747
1651,21357,EDMOND DE ROTHSCHILD SA 2013,0.22616597583735745,3519852.0,740566.0,1955357.0,458082.0,656279.0,9861.0,464128.0,53155.0,429693.0,0.342453
1652,40616,SPARKASSE FURSTENFELDBRUCK 2019,0.22516979920074254,4462927.0,391377.0,4020503.0,4433.0,3398550.0,55134.0,93303.0,5970.0,26279.0,0.609319
1653,23739,GAZPROMBANK OPEN JOINT-STOCK COMPANY 2009,0.22754636144317208,94026697.0,11966733.0,66992690.0,3480296.0,60032098.0,2013025.0,8238253.0,1016735.0,399207.0,0.737184
1654,38142,SANTANDER CONSUMER (UK) PLC 2009,0.2522364378370921,12822828.0,471497.0,5159099.0,114137.0,6155382.0,377701.0,279162.0,132260.0,-132604.0,0.487874
1655,27415,J&T BANK 2003,0.23331660066530627,170890.0,25213.0,143477.0,1244.0,93157.0,7677.0,8957.0,2632.0,404.0,0.354271
1656,38920,SHAANXI FUPING BEA RURAL BANK CORPORATION 2014,0.2291168945036506,31779.0,3697.0,27601.0,480.0,17477.0,1716.0,1730.0,830.0,6.0,0.306378
